  M1  |  M2  |  M   |  T  
    5 |   16 |   16 | 80
    6 |   16 |    2 | 48
    7 |   16 |    2 | 112
    7 |   16 |    4 | 112
    7 |   16 |    7 | 112
    7 |   16 |    8 | 112
    7 |   16 |   16 | 112
    9 |   16 |    2 | 144
    9 |   16 |    3 | 144
    9 |   16 |    4 | 144
    9 |   16 |    8 | 144
    9 |   16 |    9 | 144
    9 |   16 |   16 | 144
   10 |   16 |    2 | 80
   11 |   16 |    2 | 176
   11 |   16 |    4 | 176
   11 |   16 |    8 | 176
   11 |   16 |   11 | 176
   11 |   16 |   16 | 176
   13 |   16 |    2 | 208
   13 |   16 |    4 | 208
   13 |   16 |    8 | 208
   13 |   16 |   13 | 208
   13 |   16 |   16 | 208
   15 |   16 |    2 | 240
   15 |   16 |    3 | 240
   15 |   16 |    4 | 240
   15 |   16 |    5 | 240
   15 |   16 |    8 | 240
   15 |   16 |   15 | 240
   15 |   16 |   16 | 240
   16 |   16 |    2 | 16
   17 |   16 |    2 | 272
   17 |   16 |    4 | 272
   17 |   16 |    8 | 272
   17 |   16 |   16 | 272
   17 |   16 |   17 | 272
   19 |   16 |    2 | 304
   19 |   16 |    4 | 304
   19 |   16 |    8 | 304
   19 |   16 |   16 | 304
   19 |   16 |   19 | 304
   21 |   16 |    2 | 336
   21 |   16 |    3 | 336
   21 |   16 |    4 | 336
   21 |   16 |    7 | 336
   21 |   16 |    8 | 336
   21 |   16 |   16 | 336
   21 |   16 |   21 | 336
   22 |   16 |    2 | 176
   22 |   16 |    4 | 176
   22 |   16 |    8 | 176
   23 |   16 |    2 | 368
   23 |   16 |    4 | 368
   23 |   16 |    8 | 368
   23 |   16 |   16 | 368
   23 |   16 |   23 | 368
   25 |   16 |    2 | 400
   25 |   16 |    4 | 400
   25 |   16 |    5 | 400
   25 |   16 |    8 | 400
   25 |   16 |   16 | 400
   25 |   16 |   25 | 400
   26 |   16 |    2 | 208
   27 |   16 |    2 | 432
   27 |   16 |    3 | 432
   27 |   16 |    4 | 432
   27 |   16 |    8 | 432
   27 |   16 |    9 | 432
   27 |   16 |   16 | 432
   27 |   16 |   27 | 432
   28 |   16 |    2 | 112
   29 |   16 |    2 | 464
   29 |   16 |    4 | 464
   29 |   16 |    8 | 464
   29 |   16 |   16 | 464
   29 |   16 |   29 | 464
   30 |   16 |    3 | 240
   31 |   16 |    2 | 496
   31 |   16 |    4 | 496
   31 |   16 |    8 | 496
   31 |   16 |   16 | 496
   31 |   16 |   31 | 496
   32 |   16 |    2 | 32
   33 |   16 |    2 | 528
   33 |   16 |    3 | 528
   33 |   16 |    4 | 528
   33 |   16 |    8 | 528
   33 |   16 |   11 | 528
   33 |   16 |   16 | 528
   33 |   16 |   33 | 528
   34 |   16 |    2 | 272
   35 |   16 |    2 | 560
   35 |   16 |    4 | 560
   35 |   16 |    5 | 560
   35 |   16 |    7 | 560
   35 |   16 |    8 | 560
   35 |   16 |   16 | 560
   35 |   16 |   35 | 560
   37 |   16 |    2 | 592
   37 |   16 |    4 | 592
   37 |   16 |    8 | 592
   37 |   16 |   16 | 592
   37 |   16 |   37 | 592
   38 |   16 |    2 | 304
   39 |   16 |    2 | 624
   39 |   16 |    3 | 624
   39 |   16 |    4 | 624
   39 |   16 |    8 | 624
   39 |   16 |   13 | 624
   39 |   16 |   16 | 624
   39 |   16 |   39 | 624
   40 |   16 |    2 | 80
   41 |   16 |    2 | 656
   41 |   16 |    4 | 656
   41 |   16 |    8 | 656
   41 |   16 |   16 | 656
   41 |   16 |   41 | 656
   43 |   16 |    2 | 688
   43 |   16 |    4 | 688
   43 |   16 |    8 | 688
   43 |   16 |   16 | 688
   43 |   16 |   43 | 688
   44 |   16 |    2 | 176
   45 |   16 |    2 | 720
   45 |   16 |    3 | 720
   45 |   16 |    4 | 720
   45 |   16 |    5 | 720
   45 |   16 |    8 | 720
   45 |   16 |    9 | 720
   45 |   16 |   15 | 720
   45 |   16 |   16 | 720
   45 |   16 |   45 | 720
   46 |   16 |    2 | 368
   47 |   16 |    2 | 752
   47 |   16 |    4 | 752
   47 |   16 |    8 | 752
   47 |   16 |   16 | 752
   47 |   16 |   47 | 752
   49 |   16 |    2 | 784
   49 |   16 |    4 | 784
   49 |   16 |    7 | 784
   49 |   16 |    8 | 784
   49 |   16 |   16 | 784
   49 |   16 |   49 | 784
    1 |   17 |   17 | 17
    2 |   17 |    2 | 34
    2 |   17 |   17 | 34
    3 |   17 |    3 | 51
    3 |   17 |   17 | 51
    4 |   17 |    2 | 68
    4 |   17 |    4 | 68
    4 |   17 |   17 | 68
    5 |   17 |    5 | 85
    5 |   17 |   17 | 85
    6 |   17 |    2 | 102
    6 |   17 |    3 | 102
    6 |   17 |    6 | 102
    6 |   17 |   17 | 102
    7 |   17 |    7 | 119
    7 |   17 |   17 | 119
    8 |   17 |    2 | 136
    8 |   17 |    4 | 136
    8 |   17 |    8 | 136
    8 |   17 |   17 | 136
    9 |   17 |    3 | 153
    9 |   17 |    9 | 153
    9 |   17 |   17 | 153
   10 |   17 |    2 | 170
   10 |   17 |    5 | 170
   10 |   17 |   10 | 170
   10 |   17 |   17 | 170
   11 |   17 |   11 | 187
   11 |   17 |   17 | 187
   12 |   17 |    2 | 204
   12 |   17 |    3 | 204
   12 |   17 |    4 | 204
   12 |   17 |    6 | 204
   12 |   17 |   12 | 204
   12 |   17 |   17 | 204
   13 |   17 |   13 | 221
   13 |   17 |   17 | 221
   14 |   17 |    2 | 238
   14 |   17 |    7 | 238
   14 |   17 |   14 | 238
   14 |   17 |   17 | 238
   15 |   17 |    3 | 255
   15 |   17 |    5 | 255
   15 |   17 |   15 | 255
   15 |   17 |   17 | 255
   16 |   17 |    2 | 272
   16 |   17 |    4 | 272
   16 |   17 |    8 | 272
   16 |   17 |   16 | 272
   16 |   17 |   17 | 272
   18 |   17 |    2 | 306
   18 |   17 |    3 | 306
   18 |   17 |    6 | 306
   18 |   17 |    9 | 306
   18 |   17 |   17 | 306
   18 |   17 |   18 | 306
   19 |   17 |   17 | 323
   19 |   17 |   19 | 323
   20 |   17 |    2 | 340
   20 |   17 |    4 | 340
   20 |   17 |    5 | 340
   20 |   17 |   10 | 340
   20 |   17 |   17 | 340
   20 |   17 |   20 | 340
   21 |   17 |    3 | 357
   21 |   17 |    7 | 357
   21 |   17 |   17 | 357
   21 |   17 |   21 | 357
   22 |   17 |    2 | 374
   22 |   17 |   11 | 374
   22 |   17 |   17 | 374
   22 |   17 |   22 | 374
   23 |   17 |   17 | 391
   23 |   17 |   23 | 391
   24 |   17 |    2 | 408
   24 |   17 |    3 | 408
   24 |   17 |    4 | 408
   24 |   17 |    6 | 408
   24 |   17 |    8 | 408
   24 |   17 |   12 | 408
   24 |   17 |   17 | 408
   24 |   17 |   24 | 408
   25 |   17 |    5 | 425
   25 |   17 |   17 | 425
   25 |   17 |   25 | 425
   26 |   17 |    2 | 442
   26 |   17 |   13 | 442
   26 |   17 |   17 | 442
   26 |   17 |   26 | 442
   27 |   17 |    3 | 459
   27 |   17 |    9 | 459
   27 |   17 |   17 | 459
   27 |   17 |   27 | 459
   28 |   17 |    2 | 476
   28 |   17 |    4 | 476
   28 |   17 |    7 | 476
   28 |   17 |   14 | 476
   28 |   17 |   17 | 476
   28 |   17 |   28 | 476
   29 |   17 |   17 | 493
   29 |   17 |   29 | 493
   30 |   17 |    2 | 510
   30 |   17 |    3 | 510
   30 |   17 |    5 | 510
   30 |   17 |    6 | 510
   30 |   17 |   10 | 510
   30 |   17 |   15 | 510
   30 |   17 |   17 | 510
   30 |   17 |   30 | 510
   31 |   17 |   17 | 527
   31 |   17 |   31 | 527
   32 |   17 |    2 | 544
   32 |   17 |    4 | 544
   32 |   17 |    8 | 544
   32 |   17 |   16 | 544
   32 |   17 |   17 | 544
   32 |   17 |   32 | 544
   33 |   17 |    3 | 561
   33 |   17 |   11 | 561
   33 |   17 |   17 | 561
   33 |   17 |   33 | 561
   34 |   17 |    2 | 34
   35 |   17 |    5 | 595
   35 |   17 |    7 | 595
   35 |   17 |   17 | 595
   35 |   17 |   35 | 595
   36 |   17 |    2 | 612
   36 |   17 |    3 | 612
   36 |   17 |    4 | 612
   36 |   17 |    6 | 612
   36 |   17 |    9 | 612
   36 |   17 |   12 | 612
   36 |   17 |   17 | 612
   36 |   17 |   18 | 612
   36 |   17 |   36 | 612
   37 |   17 |   17 | 629
   37 |   17 |   37 | 629
   38 |   17 |    2 | 646
   38 |   17 |   17 | 646
   38 |   17 |   19 | 646
   38 |   17 |   38 | 646
   39 |   17 |    3 | 663
   39 |   17 |   13 | 663
   39 |   17 |   17 | 663
   39 |   17 |   39 | 663
   40 |   17 |    2 | 680
   40 |   17 |    4 | 680
   40 |   17 |    5 | 680
   40 |   17 |    8 | 680
   40 |   17 |   10 | 680
   40 |   17 |   17 | 680
   40 |   17 |   20 | 680
   40 |   17 |   40 | 680
   41 |   17 |   17 | 697
   41 |   17 |   41 | 697
   42 |   17 |    2 | 714
   42 |   17 |    3 | 714
   42 |   17 |    6 | 714
   42 |   17 |    7 | 714
   42 |   17 |   14 | 714
   42 |   17 |   17 | 714
   42 |   17 |   21 | 714
   42 |   17 |   42 | 714
   43 |   17 |   17 | 731
   43 |   17 |   43 | 731
   44 |   17 |    2 | 748
   44 |   17 |    4 | 748
   44 |   17 |   11 | 748
   44 |   17 |   17 | 748
   44 |   17 |   22 | 748
   44 |   17 |   44 | 748
   45 |   17 |    3 | 765
   45 |   17 |    5 | 765
   45 |   17 |    9 | 765
   45 |   17 |   15 | 765
   45 |   17 |   17 | 765
   45 |   17 |   45 | 765
   46 |   17 |    2 | 782
   46 |   17 |   17 | 782
   46 |   17 |   23 | 782
   46 |   17 |   46 | 782
   47 |   17 |   17 | 799
   47 |   17 |   47 | 799
   48 |   17 |    2 | 816
   48 |   17 |    3 | 816
   48 |   17 |    4 | 816
   48 |   17 |    6 | 816
   48 |   17 |    8 | 816
   48 |   17 |   12 | 816
   48 |   17 |   16 | 816
   48 |   17 |   17 | 816
   48 |   17 |   24 | 816
   48 |   17 |   48 | 816
   49 |   17 |    7 | 833
   49 |   17 |   17 | 833
   49 |   17 |   49 | 833
    1 |   18 |    2 | 18
    1 |   18 |    3 | 18
    1 |   18 |    6 | 18
    1 |   18 |    9 | 18
    1 |   18 |   18 | 18
    4 |   18 |    2 | 36
    4 |   18 |    3 | 36
    5 |   18 |    2 | 90
    5 |   18 |    3 | 90
    5 |   18 |    5 | 90
    5 |   18 |    6 | 90
    5 |   18 |    9 | 90
    5 |   18 |   18 | 90
    7 |   18 |    2 | 126
    7 |   18 |    3 | 126
    7 |   18 |    6 | 126
    7 |   18 |    7 | 126
    7 |   18 |    9 | 126
    7 |   18 |   18 | 126
    9 |   18 |    2 | 18
   11 |   18 |    2 | 198
   11 |   18 |    3 | 198
   11 |   18 |    6 | 198
   11 |   18 |    9 | 198
   11 |   18 |   11 | 198
   11 |   18 |   18 | 198
   12 |   18 |    2 | 36
   13 |   18 |    2 | 234
   13 |   18 |    3 | 234
   13 |   18 |    6 | 234
   13 |   18 |    9 | 234
   13 |   18 |   13 | 234
   13 |   18 |   18 | 234
   16 |   18 |    3 | 144
   17 |   18 |    2 | 306
   17 |   18 |    3 | 306
   17 |   18 |    6 | 306
   17 |   18 |    9 | 306
   17 |   18 |   17 | 306
   17 |   18 |   18 | 306
   19 |   18 |    2 | 342
   19 |   18 |    3 | 342
   19 |   18 |    6 | 342
   19 |   18 |    9 | 342
   19 |   18 |   18 | 342
   19 |   18 |   19 | 342
   20 |   18 |    3 | 180
   23 |   18 |    2 | 414
   23 |   18 |    3 | 414
   23 |   18 |    6 | 414
   23 |   18 |    9 | 414
   23 |   18 |   18 | 414
   23 |   18 |   23 | 414
   25 |   18 |    2 | 450
   25 |   18 |    3 | 450
   25 |   18 |    5 | 450
   25 |   18 |    6 | 450
   25 |   18 |    9 | 450
   25 |   18 |   18 | 450
   25 |   18 |   25 | 450
   29 |   18 |    2 | 522
   29 |   18 |    3 | 522
   29 |   18 |    6 | 522
   29 |   18 |    9 | 522
   29 |   18 |   18 | 522
   29 |   18 |   29 | 522
   31 |   18 |    2 | 558
   31 |   18 |    3 | 558
   31 |   18 |    6 | 558
   31 |   18 |    9 | 558
   31 |   18 |   18 | 558
   31 |   18 |   31 | 558
   33 |   18 |    3 | 198
   35 |   18 |    2 | 630
   35 |   18 |    3 | 630
   35 |   18 |    5 | 630
   35 |   18 |    6 | 630
   35 |   18 |    7 | 630
   35 |   18 |    9 | 630
   35 |   18 |   18 | 630
   35 |   18 |   35 | 630
   37 |   18 |    2 | 666
   37 |   18 |    3 | 666
   37 |   18 |    6 | 666
   37 |   18 |    9 | 666
   37 |   18 |   18 | 666
   37 |   18 |   37 | 666
   41 |   18 |    2 | 738
   41 |   18 |    3 | 738
   41 |   18 |    6 | 738
   41 |   18 |    9 | 738
   41 |   18 |   18 | 738
   41 |   18 |   41 | 738
   43 |   18 |    2 | 774
   43 |   18 |    3 | 774
   43 |   18 |    6 | 774
   43 |   18 |    9 | 774
   43 |   18 |   18 | 774
   43 |   18 |   43 | 774
   44 |   18 |    2 | 396
   47 |   18 |    2 | 846
   47 |   18 |    3 | 846
   47 |   18 |    6 | 846
   47 |   18 |    9 | 846
   47 |   18 |   18 | 846
   47 |   18 |   47 | 846
   49 |   18 |    2 | 882
   49 |   18 |    3 | 882
   49 |   18 |    6 | 882
   49 |   18 |    7 | 882
   49 |   18 |    9 | 882
   49 |   18 |   18 | 882
   49 |   18 |   49 | 882
    1 |   19 |   19 | 19
    2 |   19 |    2 | 38
    2 |   19 |   19 | 38
    3 |   19 |    3 | 57
    3 |   19 |   19 | 57
    4 |   19 |    2 | 76
    4 |   19 |    4 | 76
    4 |   19 |   19 | 76
    5 |   19 |    5 | 95
    5 |   19 |   19 | 95
    6 |   19 |    2 | 114
    6 |   19 |    3 | 114
    6 |   19 |    6 | 114
    6 |   19 |   19 | 114
    7 |   19 |    7 | 133
    7 |   19 |   19 | 133
    8 |   19 |    2 | 152
    8 |   19 |    4 | 152
    8 |   19 |    8 | 152
    8 |   19 |   19 | 152
    9 |   19 |    3 | 171
    9 |   19 |    9 | 171
    9 |   19 |   19 | 171
   10 |   19 |    2 | 190
   10 |   19 |    5 | 190
   10 |   19 |   10 | 190
   10 |   19 |   19 | 190
   11 |   19 |   11 | 209
   11 |   19 |   19 | 209
   12 |   19 |    2 | 228
   12 |   19 |    3 | 228
   12 |   19 |    4 | 228
   12 |   19 |    6 | 228
   12 |   19 |   12 | 228
   12 |   19 |   19 | 228
   13 |   19 |   13 | 247
   13 |   19 |   19 | 247
   14 |   19 |    2 | 266
   14 |   19 |    7 | 266
   14 |   19 |   14 | 266
   14 |   19 |   19 | 266
   15 |   19 |    3 | 285
   15 |   19 |    5 | 285
   15 |   19 |   15 | 285
   15 |   19 |   19 | 285
   16 |   19 |    2 | 304
   16 |   19 |    4 | 304
   16 |   19 |    8 | 304
   16 |   19 |   16 | 304
   16 |   19 |   19 | 304
   17 |   19 |   17 | 323
   17 |   19 |   19 | 323
   18 |   19 |    2 | 342
   18 |   19 |    3 | 342
   18 |   19 |    6 | 342
   18 |   19 |    9 | 342
   18 |   19 |   18 | 342
   18 |   19 |   19 | 342
   20 |   19 |    2 | 380
   20 |   19 |    4 | 380
   20 |   19 |    5 | 380
   20 |   19 |   10 | 380
   20 |   19 |   19 | 380
   20 |   19 |   20 | 380
   21 |   19 |    3 | 399
   21 |   19 |    7 | 399
   21 |   19 |   19 | 399
   21 |   19 |   21 | 399
   22 |   19 |    2 | 418
   22 |   19 |   11 | 418
   22 |   19 |   19 | 418
   22 |   19 |   22 | 418
   23 |   19 |   19 | 437
   23 |   19 |   23 | 437
   24 |   19 |    2 | 456
   24 |   19 |    3 | 456
   24 |   19 |    4 | 456
   24 |   19 |    6 | 456
   24 |   19 |    8 | 456
   24 |   19 |   12 | 456
   24 |   19 |   19 | 456
   24 |   19 |   24 | 456
   25 |   19 |    5 | 475
   25 |   19 |   19 | 475
   25 |   19 |   25 | 475
   26 |   19 |    2 | 494
   26 |   19 |   13 | 494
   26 |   19 |   19 | 494
   26 |   19 |   26 | 494
   27 |   19 |    3 | 513
   27 |   19 |    9 | 513
   27 |   19 |   19 | 513
   27 |   19 |   27 | 513
   28 |   19 |    2 | 532
   28 |   19 |    4 | 532
   28 |   19 |    7 | 532
   28 |   19 |   14 | 532
   28 |   19 |   19 | 532
   28 |   19 |   28 | 532
   29 |   19 |   19 | 551
   29 |   19 |   29 | 551
   30 |   19 |    2 | 570
   30 |   19 |    3 | 570
   30 |   19 |    5 | 570
   30 |   19 |    6 | 570
   30 |   19 |   10 | 570
   30 |   19 |   15 | 570
   30 |   19 |   19 | 570
   30 |   19 |   30 | 570
   31 |   19 |   19 | 589
   31 |   19 |   31 | 589
   32 |   19 |    2 | 608
   32 |   19 |    4 | 608
   32 |   19 |    8 | 608
   32 |   19 |   16 | 608
   32 |   19 |   19 | 608
   32 |   19 |   32 | 608
   33 |   19 |    3 | 627
   33 |   19 |   11 | 627
   33 |   19 |   19 | 627
   33 |   19 |   33 | 627
   34 |   19 |    2 | 646
   34 |   19 |   17 | 646
   34 |   19 |   19 | 646
   34 |   19 |   34 | 646
   35 |   19 |    5 | 665
   35 |   19 |    7 | 665
   35 |   19 |   19 | 665
   35 |   19 |   35 | 665
   36 |   19 |    2 | 684
   36 |   19 |    3 | 684
   36 |   19 |    4 | 684
   36 |   19 |    6 | 684
   36 |   19 |    9 | 684
   36 |   19 |   12 | 684
   36 |   19 |   18 | 684
   36 |   19 |   19 | 684
   36 |   19 |   36 | 684
   37 |   19 |   19 | 703
   37 |   19 |   37 | 703
   39 |   19 |    3 | 741
   39 |   19 |   13 | 741
   39 |   19 |   19 | 741
   39 |   19 |   39 | 741
   40 |   19 |    2 | 760
   40 |   19 |    4 | 760
   40 |   19 |    5 | 760
   40 |   19 |    8 | 760
   40 |   19 |   10 | 760
   40 |   19 |   19 | 760
   40 |   19 |   20 | 760
   40 |   19 |   40 | 760
   41 |   19 |   19 | 779
   41 |   19 |   41 | 779
   42 |   19 |    2 | 798
   42 |   19 |    3 | 798
   42 |   19 |    6 | 798
   42 |   19 |    7 | 798
   42 |   19 |   14 | 798
   42 |   19 |   19 | 798
   42 |   19 |   21 | 798
   42 |   19 |   42 | 798
   43 |   19 |   19 | 817
   43 |   19 |   43 | 817
   44 |   19 |    2 | 836
   44 |   19 |    4 | 836
   44 |   19 |   11 | 836
   44 |   19 |   19 | 836
   44 |   19 |   22 | 836
   44 |   19 |   44 | 836
   45 |   19 |    3 | 855
   45 |   19 |    5 | 855
   45 |   19 |    9 | 855
   45 |   19 |   15 | 855
   45 |   19 |   19 | 855
   45 |   19 |   45 | 855
   46 |   19 |    2 | 874
   46 |   19 |   19 | 874
   46 |   19 |   23 | 874
   46 |   19 |   46 | 874
   47 |   19 |   19 | 893
   47 |   19 |   47 | 893
   48 |   19 |    2 | 912
   48 |   19 |    3 | 912
   48 |   19 |    4 | 912
   48 |   19 |    6 | 912
   48 |   19 |    8 | 912
   48 |   19 |   12 | 912
   48 |   19 |   16 | 912
   48 |   19 |   19 | 912
   48 |   19 |   24 | 912
   48 |   19 |   48 | 912
   49 |   19 |    7 | 931
   49 |   19 |   19 | 931
   49 |   19 |   49 | 931
    1 |   20 |    2 | 20
    1 |   20 |    4 | 20
    1 |   20 |    5 | 20
    1 |   20 |   10 | 20
    1 |   20 |   20 | 20
    3 |   20 |    2 | 60
    3 |   20 |    3 | 60
    3 |   20 |    4 | 60
    3 |   20 |    5 | 60
    3 |   20 |   10 | 60
    3 |   20 |   20 | 60
    4 |   20 |    2 | 20
    7 |   20 |    2 | 140
    7 |   20 |    4 | 140
    7 |   20 |    5 | 140
    7 |   20 |    7 | 140
    7 |   20 |   10 | 140
    7 |   20 |   20 | 140
    9 |   20 |    2 | 180
    9 |   20 |    3 | 180
    9 |   20 |    4 | 180
    9 |   20 |    5 | 180
    9 |   20 |    9 | 180
    9 |   20 |   10 | 180
    9 |   20 |   20 | 180
   11 |   20 |    2 | 220
   11 |   20 |    4 | 220
   11 |   20 |    5 | 220
   11 |   20 |   10 | 220
   11 |   20 |   11 | 220
   11 |   20 |   20 | 220
   13 |   20 |    2 | 260
   13 |   20 |    4 | 260
   13 |   20 |    5 | 260
   13 |   20 |   10 | 260
   13 |   20 |   13 | 260
   13 |   20 |   20 | 260
   14 |   20 |    2 | 140
   16 |   20 |    2 | 80
   17 |   20 |    2 | 340
   17 |   20 |    4 | 340
   17 |   20 |    5 | 340
   17 |   20 |   10 | 340
   17 |   20 |   17 | 340
   17 |   20 |   20 | 340
   18 |   20 |    2 | 180
   18 |   20 |    3 | 180
   19 |   20 |    2 | 380
   19 |   20 |    4 | 380
   19 |   20 |    5 | 380
   19 |   20 |   10 | 380
   19 |   20 |   19 | 380
   19 |   20 |   20 | 380
   21 |   20 |    2 | 420
   21 |   20 |    3 | 420
   21 |   20 |    4 | 420
   21 |   20 |    5 | 420
   21 |   20 |    7 | 420
   21 |   20 |   10 | 420
   21 |   20 |   20 | 420
   21 |   20 |   21 | 420
   22 |   20 |    2 | 220
   23 |   20 |    2 | 460
   23 |   20 |    4 | 460
   23 |   20 |    5 | 460
   23 |   20 |   10 | 460
   23 |   20 |   20 | 460
   23 |   20 |   23 | 460
   25 |   20 |    2 | 100
   27 |   20 |    2 | 540
   27 |   20 |    3 | 540
   27 |   20 |    4 | 540
   27 |   20 |    5 | 540
   27 |   20 |    9 | 540
   27 |   20 |   10 | 540
   27 |   20 |   20 | 540
   27 |   20 |   27 | 540
   29 |   20 |    2 | 580
   29 |   20 |    4 | 580
   29 |   20 |    5 | 580
   29 |   20 |   10 | 580
   29 |   20 |   20 | 580
   29 |   20 |   29 | 580
   30 |   20 |    2 | 60
   31 |   20 |    2 | 620
   31 |   20 |    4 | 620
   31 |   20 |    5 | 620
   31 |   20 |   10 | 620
   31 |   20 |   20 | 620
   31 |   20 |   31 | 620
   32 |   20 |    2 | 160
   33 |   20 |    2 | 660
   33 |   20 |    3 | 660
   33 |   20 |    4 | 660
   33 |   20 |    5 | 660
   33 |   20 |   10 | 660
   33 |   20 |   11 | 660
   33 |   20 |   20 | 660
   33 |   20 |   33 | 660
   35 |   20 |    2 | 140
   37 |   20 |    2 | 740
   37 |   20 |    4 | 740
   37 |   20 |    5 | 740
   37 |   20 |   10 | 740
   37 |   20 |   20 | 740
   37 |   20 |   37 | 740
   39 |   20 |    2 | 780
   39 |   20 |    3 | 780
   39 |   20 |    4 | 780
   39 |   20 |    5 | 780
   39 |   20 |   10 | 780
   39 |   20 |   13 | 780
   39 |   20 |   20 | 780
   39 |   20 |   39 | 780
   41 |   20 |    2 | 820
   41 |   20 |    4 | 820
   41 |   20 |    5 | 820
   41 |   20 |   10 | 820
   41 |   20 |   20 | 820
   41 |   20 |   41 | 820
   43 |   20 |    2 | 860
   43 |   20 |    4 | 860
   43 |   20 |    5 | 860
   43 |   20 |   10 | 860
   43 |   20 |   20 | 860
   43 |   20 |   43 | 860
   44 |   20 |    2 | 220
   47 |   20 |    2 | 940
   47 |   20 |    4 | 940
   47 |   20 |    5 | 940
   47 |   20 |   10 | 940
   47 |   20 |   20 | 940
   47 |   20 |   47 | 940
   49 |   20 |    2 | 980
   49 |   20 |    4 | 980
   49 |   20 |    5 | 980
   49 |   20 |    7 | 980
   49 |   20 |   10 | 980
   49 |   20 |   20 | 980
   49 |   20 |   49 | 980
    1 |   21 |    3 | 21
    1 |   21 |    7 | 21
    1 |   21 |   21 | 21
    2 |   21 |    2 | 42
    2 |   21 |    3 | 42
    2 |   21 |    7 | 42
    2 |   21 |   21 | 42
    4 |   21 |    2 | 84
    4 |   21 |    3 | 84
    4 |   21 |    4 | 84
    4 |   21 |    7 | 84
    4 |   21 |   21 | 84
    5 |   21 |    3 | 105
    5 |   21 |    5 | 105
    5 |   21 |    7 | 105
    5 |   21 |   21 | 105
    8 |   21 |    2 | 168
    8 |   21 |    3 | 168
    8 |   21 |    4 | 168
    8 |   21 |    7 | 168
    8 |   21 |    8 | 168
    8 |   21 |   21 | 168
   10 |   21 |    2 | 210
   10 |   21 |    3 | 210
   10 |   21 |    5 | 210
   10 |   21 |    7 | 210
   10 |   21 |   10 | 210
   10 |   21 |   21 | 210
   11 |   21 |    3 | 231
   11 |   21 |    7 | 231
   11 |   21 |   11 | 231
   11 |   21 |   21 | 231
   13 |   21 |    3 | 273
   13 |   21 |    7 | 273
   13 |   21 |   13 | 273
   13 |   21 |   21 | 273
   14 |   21 |    2 | 42
   16 |   21 |    2 | 336
   16 |   21 |    3 | 336
   16 |   21 |    4 | 336
   16 |   21 |    7 | 336
   16 |   21 |    8 | 336
   16 |   21 |   16 | 336
   16 |   21 |   21 | 336
   17 |   21 |    3 | 357
   17 |   21 |    7 | 357
   17 |   21 |   17 | 357
   17 |   21 |   21 | 357
   19 |   21 |    3 | 399
   19 |   21 |    7 | 399
   19 |   21 |   19 | 399
   19 |   21 |   21 | 399
   20 |   21 |    2 | 420
   20 |   21 |    3 | 420
   20 |   21 |    4 | 420
   20 |   21 |    5 | 420
   20 |   21 |    7 | 420
   20 |   21 |   10 | 420
   20 |   21 |   20 | 420
   20 |   21 |   21 | 420
   22 |   21 |    2 | 462
   22 |   21 |    3 | 462
   22 |   21 |    7 | 462
   22 |   21 |   11 | 462
   22 |   21 |   21 | 462
   22 |   21 |   22 | 462
   23 |   21 |    3 | 483
   23 |   21 |    7 | 483
   23 |   21 |   21 | 483
   23 |   21 |   23 | 483
   24 |   21 |    2 | 168
   25 |   21 |    3 | 525
   25 |   21 |    5 | 525
   25 |   21 |    7 | 525
   25 |   21 |   21 | 525
   25 |   21 |   25 | 525
   26 |   21 |    2 | 546
   26 |   21 |    3 | 546
   26 |   21 |    7 | 546
   26 |   21 |   13 | 546
   26 |   21 |   21 | 546
   26 |   21 |   26 | 546
   29 |   21 |    3 | 609
   29 |   21 |    7 | 609
   29 |   21 |   21 | 609
   29 |   21 |   29 | 609
   31 |   21 |    3 | 651
   31 |   21 |    7 | 651
   31 |   21 |   21 | 651
   31 |   21 |   31 | 651
   32 |   21 |    2 | 672
   32 |   21 |    3 | 672
   32 |   21 |    4 | 672
   32 |   21 |    7 | 672
   32 |   21 |    8 | 672
   32 |   21 |   16 | 672
   32 |   21 |   21 | 672
   32 |   21 |   32 | 672
   34 |   21 |    2 | 714
   34 |   21 |    3 | 714
   34 |   21 |    7 | 714
   34 |   21 |   17 | 714
   34 |   21 |   21 | 714
   34 |   21 |   34 | 714
   36 |   21 |    2 | 252
   37 |   21 |    3 | 777
   37 |   21 |    7 | 777
   37 |   21 |   21 | 777
   37 |   21 |   37 | 777
   38 |   21 |    2 | 798
   38 |   21 |    3 | 798
   38 |   21 |    7 | 798
   38 |   21 |   19 | 798
   38 |   21 |   21 | 798
   38 |   21 |   38 | 798
   40 |   21 |    2 | 840
   40 |   21 |    3 | 840
   40 |   21 |    4 | 840
   40 |   21 |    5 | 840
   40 |   21 |    7 | 840
   40 |   21 |    8 | 840
   40 |   21 |   10 | 840
   40 |   21 |   20 | 840
   40 |   21 |   21 | 840
   40 |   21 |   40 | 840
   41 |   21 |    3 | 861
   41 |   21 |    7 | 861
   41 |   21 |   21 | 861
   41 |   21 |   41 | 861
   43 |   21 |    3 | 903
   43 |   21 |    7 | 903
   43 |   21 |   21 | 903
   43 |   21 |   43 | 903
   44 |   21 |    2 | 924
   44 |   21 |    3 | 924
   44 |   21 |    4 | 924
   44 |   21 |    7 | 924
   44 |   21 |   11 | 924
   44 |   21 |   21 | 924
   44 |   21 |   22 | 924
   44 |   21 |   44 | 924
   46 |   21 |    2 | 966
   46 |   21 |    3 | 966
